id;nombre;idCarrera;idProfesor
1;PEDAGOGIA;4;
2;FILOSOFIA;4;
3;PSICOLOGIA EDUCACIONAL;4;
4;HISTORIA Y POLITICA DE LA EDUCACION ARGENTINA;4;
5;LENGUA Y LITERATURA;4;
6;MATEMATICA;4;
7;CIENCIAS SOCIALES;4;
8;CIENCIAS NATURALES;4;
9;PRACTICA, CULTURA Y CONTEXTOS INSTITUCIONALES;4;
10;EDI I;4;
11;OPCIONAL I;4;
12;ESTADISTICA GENERAL;4;
13;TIC;4;
14;SUJETO DE NIVEL PRIMARIO;4;
15;ALFABETIZACION INICIAL;4;
16;LENGUA Y LITERATURA Y SU ENSEÑANZA;4;
17;MATEMATICA Y SU ENSEÑANZA I;4;
18;CIENCIAS NATURALES Y SU ENSEÑANZA I;4;
19;CIENCIAS SOCIALES Y SU ENSEÑANZA I;4;
20;EDUCACION FISICA DE NIVEL PRIMARIO;4;
21;PRACTICA II ESCENARIO DE LA PRACTICA DOCENTE;4;
22;ESI;4;
23;SOCIOLOGIA DE LA EDUCACION;4;
24;LENGUA Y LITERATURA Y SU ENSEÑANZA II;4;
25;MATEMATICA Y SU ENSEÑANZA II;4;
26;CIENCIAS NATURALES Y SU ENSEÑANZA II;4;
27;CIENCIAS SOCIALES Y SU ENSEÑANZA II;4;
28;PRACTICA DE LA ENSEÑANZA;4;
29;EDI III;4;
30;FORMACION ETICA Y LA CONSTRUCCION DE CIUDADANIA;4;
31;SISTEMATIZACION DE EXPERIENCIAS;4;
32;ATENEO DE LENGUA Y LITERATURA;4;
33;ATENEO DE MATEMATICA;4;
34;ATENEO DE CIENCIAS SOCIALES;4;
35;ATENEO DE CIENCIAS NATURALES;4;
36;RESIDENCIA PEDAGOGICA;4;
37;EDI IV;4;
38;LENGUAJE Y PRODUCCION DEL DISCURSO I;3;
39;INFORMATICA;3;
40;TALLER DE TECNICAS PRODUCCION DINAMICAS DE GRUPO;3;
41;PRODUCCION PSICOLOGIA PSICOLOGIA GENERAL;3;
42;PRODUCCION PROBLEMATICA EDUCATIVA CONTEMPORANEA;3;
43;PRODUCCION SEMINARIO TALLER I;3;
44;PRODUCCION ANTROPOLOGIA SOCIO CULTURAL;3;
45;SISTEMA PRODUCCION E INSTITUCIONES ESCOLARES;3;
46;PRODUCCION DE CAMPO I;3;
47;LENGUAJE Y PRODUCCION DEL DISCURSO II;3;
48;ESTADISTICA;3;
49;TALLER DE PLANIFICACION DE PRODUCCION TAREAS DEL precepto;3;
50;PRODUCCION DE LA ADOLESCENCIA;3;
51;PRODUCCION SOCIAL Y APRENDIZAJE;3;
52;PRODUCCION SEMINARIO TALLER II;3;
53;PRODUCCION Y LEGISLACION ESCOLAR;3;
54;PRODUCCION DE CAMPO II;3;
55;TECNOLOGIA DE PRODUCCION INFORMACION Y COMUNICACION;3;
56;PROYECTO DE INVESTIGACION PRODUCCION INTERVENCION SOCIO CULTURAL;3;
57;PRODUCCION ESTETICA Y SOCIEDAD;3;
58;PRODUCCION Y MEDIACION ESCOLAR;3;
59;PRODUCCION Y DEONTOLOGIA PROFESIONAL;3;
60;PRODUCCION DE CAMPO III;3;
61;SEMINARIO PRODUCCION SISTEMATIZACION DE EXPERIENCIAS;3;
62;COMUNICACION Y PRODUCCION DEL DISCURSO;2;
63;INFORMATICA;2;
64;MATEMATICA;2;
65;DERECHO CIVIL I;2;
66;CONTABILIDAD I;2;
67;ELEMENTOS DE ECONOMIA;2;
68;INTRODUCCION A LA ADMINISTRACION;2;
69;PRACTICA PROFESIONALIZANTE I;2;
70;MATEMATICA II;2;
71;TALLER DE IDIOMA INGLES TECNICO;2;
72;DERECHO CIVIL II;2;
73;CONTABILIDAD II;2;
74;ECONOMIA;2;
75;ADMINISTRACION DE PERSONAL;2;
76;INFORMATICA APLICADA A LOS SISTEMAS DE INFORMACION;2;
77;PRACTICA PROFESIONALIZANTE II;2;
78;ETICA Y DEONTOLOGIA DEONTOLOGIA PROFESIONAL;2;
79;ESTADA ESTADISTICA APLICADA;2;
80;RELACIONES LABORALES Y  SEGURIDAD SOCIAL;2;
81;COSTOS Y PRESUPUESTOS;2;
82;FINANZAS PUBLICAS E IMPUESTOS;2;
83;PROYECTO Y GESTION DE MICROEMPRENDIMIENTOS;2;
84;COMERCIALIZACION;2;
85;PRACTICA PROFESIONALIZANTE III;2;
86;MATEMATICA I;1;
87;PROGRAMACION I;1;
88;SISTEMA DE PROCESAMIENTO DE DATOS I;1;
89;FILOSOFIA DE LA CIENCIA Y DE LA TECNICA;1;
90;INGLES TECNICO;1;
91;TALLER;1;
92;PROGRAMACION II;1;
93;PROGRAMACION CIENTIFICA;1;
94;MATEMATICA Y METODO NUMERICO II;1;
95;LENGUAJE GENERADOR DE INFORMES;1;
96;SISTEMA DE PROCESAMIENTO DE DATOS II;1;
97;SISTEMAS ADMINISTRATIVOS II;1;
98;TECNICAS DE PROGRAMACION;1;
99;MATEMATICA APLICADA;1;
100;ETICA Y DEONTOLOGIA PROFESIONAL;1;
101;SISTEMAS ADMINISTRATIVOS II;1;
102;MINICOMPUTADORAS;1;
103;SEMINARIO;1;
104;INVESTIGACON OPERATIVA;1;
